time,mv
0,33.6
0.2,33.4
0.4,33.1
0.6,32.9
0.8,33.6
1,34.1
1.2,33.6
1.4,32.9
1.6,33.6
1.8,32.6
2,32.9
2.2,33.1
2.4,33.4
2.6,32.6
2.8,33.9
3,33.4
3.2,32.6
3.4,33.9
3.6,32.9
3.8,33.9
4,34.1
4.2,34.8
4.4,33.1
4.6,34.1
4.8,33.6
5,33.9
5.2,32.9
5.4,34.1
5.6,33.9
5.8,34.3
6,33.9
6.2,34.3
6.4,34.8
6.6,35.3
6.8,34.1
7,33.6
7.2,34.1
7.4,32.9
7.6,33.6
7.8,33.9
8,34.1
8.2,33.9
8.4,34.6
8.6,33.6
8.8,34.6
9,33.9
9.2,34.3
9.4,33.9
9.6,34.3
9.8,33.9
10,34.1
10.2,34.3
10.4,34.6
10.6,34.1
10.8,34.6
11,35.3
11.2,34.1
11.4,34.3
11.6,33.6
11.8,35.3
12,34.1
12.2,36.3
12.4,34.3
12.6,34.6
12.8,35.1
13,34.6
13.2,34.3
13.4,33.9
13.6,34.6
13.8,34.8
14,34.3
14.2,34.1
14.4,33.6
14.6,34.8
14.8,33.6
15,34.6
15.2,34.1
15.4,35.3
15.6,34.1
15.8,33.9
16,33.6
16.2,33.9
16.4,34.1
16.6,33.9
16.8,35.3
17,34.3
17.2,34.8
17.4,34.3
17.6,34.6
17.8,35.6
18,34.3
18.2,34.1
18.4,34.6
18.6,34.3
18.8,34.1
19,34.8
19.2,34.6
19.4,33.9
19.6,33.6
19.8,33.9
20,34.3
20.2,34.8
20.4,35.1
20.6,34.6
20.8,34.8
21,34.6
21.2,34.1
21.4,34.3
21.6,34.6
21.8,34.8
22,34.3
22.2,34.6
22.4,35.1
22.6,34.3
22.8,35.1
23,34.8
23.2,34.6
23.4,34.8
23.6,34.6
23.8,34.8
24,34.1
24.2,34.3
24.4,34.6
24.6,35.3
24.8,34.3
25,35.1
25.2,34.8
25.4,34.6
25.6,35.6
25.8,34.3
26,34.8
26.2,35.1
26.4,33.6
26.6,35.6
26.8,35.1
27,34.3
27.2,34.6
27.4,34.1
27.6,34.6
27.8,35.3
28,34.8
28.2,35.3
28.4,34.6
28.6,34.8
28.8,34.6
29,34.3
29.2,35.1
29.4,35.6
29.6,35.3
29.8,34.6
30,34.8
30.2,34.3
30.4,33.9
30.6,35.1
30.8,34.3
31,33.9
31.2,34.6
31.4,35.1
31.6,34.8
31.8,34.3
32,35.6
32.2,34.1
32.4,34.3
32.6,34.1
32.8,34.6
33,35.1
33.2,35.3
33.4,34.6
33.6,35.3
33.8,35.6
34,35.3
34.2,34.6
34.4,34.8
34.6,35.3
34.8,34.1
35,34.3
35.2,34.6
35.4,33.9
35.6,34.3
35.8,33.9
36,34.3
36.2,34.8
36.4,35.1
36.6,34.1
36.8,34.1
37,35.1
37.2,34.6
37.4,35.3
37.6,34.8
37.8,34.3
38,35.6
38.2,35.3
38.4,34.3
38.6,34.8
38.8,34.3
